Thematic;Parent;Created;INDEX
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/LATEST;Wed Nov  8 16:36:23 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.LATEST
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/VER11-0;Wed Nov  8 14:24:23 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.VER11-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/VER12-0;Wed Jan 10 12:29:37 2018;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.VER12-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/VER6-0;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.VER6-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/VER8-1;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.VER8-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroBoundaryMap/VER9-0;Wed Nov  8 16:36:23 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroBoundaryMap.VER9-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroGlobalMap/LATEST;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroGlobalMap.LATEST
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroGlobalMap/VER6-0;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroGlobalMap.VER6-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroGlobalMap/VER9-0;Wed Nov  8 14:34:36 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroGlobalMap.VER9-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/LATEST;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.LATEST
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER10-0;Wed Nov  8 15:37:26 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER10-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER10-1;Wed Nov  8 15:47:50 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER10-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER11-0;Wed May 30 14:44:51 2018;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER11-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER11-1;Wed May 30 12:57:43 2018;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER11-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER7-1;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER7-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/EUROPE/GISCO/EuroRegionalMap/VER9-1;Wed Nov  8 15:59:46 2017;BaseData.AdministrativeUnits.EUROPE.GISCO.EuroRegionalMap.VER9-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/FAO/GAUL/LATEST;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.GLOBAL.FAO.GAUL.LATEST
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/FAO/GAUL/VER2014-MID;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.GLOBAL.FAO.GAUL.VER2014-MID
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/FAO/GAUL/VER2015;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.GLOBAL.FAO.GAUL.VER2015
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/GADM/VER2-1;Tue Apr  9 10:58:50 2019;BaseData.AdministrativeUnits.GLOBAL.GADM.VER2-1
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/GADM/VER2-7;Tue Apr  9 10:56:42 2019;BaseData.AdministrativeUnits.GLOBAL.GADM.VER2-7
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/GADM/VER2-8;Wed Nov  8 17:08:07 2017;BaseData.AdministrativeUnits.GLOBAL.GADM.VER2-8
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/GADM/VER3-6;Mon Aug 13 12:24:01 2018;BaseData.AdministrativeUnits.GLOBAL.GADM.VER3-6
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/GISCO/VER2016;Thu Jul 25 14:11:44 2019;BaseData.AdministrativeUnits.GLOBAL.GISCO.VER2016
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/VirtualEarth/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.AdministrativeUnits.GLOBAL.VirtualEarth.VER2-0
BaseData;/eos/jeodpp/data/base/AdministrativeUnits/GLOBAL/VirtualEarth/VER4-0;Fri Nov 10 16:06:58 2017;BaseData.AdministrativeUnits.GLOBAL.VirtualEarth.VER4-0
BaseData;/eos/jeodpp/data/base/Elevation/ANTARCTICA/CRYOSAT-DEM/VER1-0;Thu Apr  6 11:20:45 2017;BaseData.Elevation.ANTARCTICA.CRYOSAT-DEM.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/ARCTICA/ArcticDEM/mosaic/VER3-0;Tue Mar  5 16:22:26 2019;BaseData.Elevation.ARCTICA.ArcticDEM.mosaic.VER3-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/ASTER-GDEM/LATEST;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.ASTER-GDEM.LATEST
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/ASTER-GDEM/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.ASTER-GDEM.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/ASTER-GDEM/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.ASTER-GDEM.VER2-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/COP-DEM/VER0-1;Fri Jan 10 10:57:06 2020;BaseData.Elevation.EUROPE.COP-DEM.VER0-1
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/EMODnet/VER2018;Thu Apr 11 11:46:16 2019;BaseData.Elevation.EUROPE.EMODnet.VER2018
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER0-1;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER0-1
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER1-2;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER1-2
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/SRTM-100m/LATEST;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.SRTM-100m.LATEST
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/SRTM-100m/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.SRTM-100m.VER2-0
